Tweet,Sentiment
"\xf0\x9f\x93\x8c Himmler merupakan pimpinan devisi SS, dan beserta perwira SS yang lain meyakini bahwa Yesus itu bukanlah orang Yahudi, tetapi orang ras Arya.'",Positive
USER Iya anjir dah',Negative
"USER Adatuh temen sekelas di sma, dia cakep imut, cuma sombong banget, gamau temenan sama org yg ga cakep (kyk aku) trus suka ngatur2 org aja. Jd aku sekelompok sama dia utk mapel kesenian. Tugas akhirnya cuma disuruh ngejahit hiasan yg dibikin sen",Positive
"USER USER USER USER Mongomong soal ospek, jadi ingat waktu ospek disuruh makan xon-ce bergilir sekali masukin lidah terus di oper ke sebelah sampai habis di kecup di dalam mulut \xf0\x9f\x98\x91\xf0\x9f\x98\x91\n\nTerus pas giliran",Positive
Bajingan punya line',Negative
Kenali aku lebih dalam. Maka kamu akan mengerti bahwa seorang bajingan sepertiku masih punya hati dan perasaan!',Negative
"Dalam acara Back to Campus di Fakultas Ilmu Budaya UNPAD, bercerita tentang kemajuan di RRT dan beberapa tips dalam menghadapi kehidupan sesudah masa belajar di kampus selesai (7/4) #backtocampus #gemasian85 USER USER",Positive
USER USER AKU ITU AKU\n\nKU TAU MATAMU SIPIT TAPI DILIAT DARI MANA ITU AKU',Positive
"itu kalo USER beneran otoriter sebagaimana dilabelkan, pulang-pulang tinggal nama tuh.",Positive
USER Seperti melihat punuk onta',Positive
USER USER Aseng yg bajingan spt ahok beserta kroni\xc2\xb2 nya perlu di anti kan',Negative
USER biar makin panas alias babi kaaaaau\n wwkwkwkw\n\njangan becandain mamah gw',Negative
USER Kenapa? Terguncang ente mendengarnya pak?? Makanya para ulama zaman dahulu berusaha menghindari orang orang seperti ini.. Karena hati kita ini ditangan Allah takutnya ada suatu masa kita terperosok ikut ideologi dia,Positive
"Main ke pos ronda ngarepin temen ngobrol, yg ada bocah maen mobel lejen bangsad'",Negative
Mengapa bukan PT Antam yang yang dipinjami oleh Bank BUMN? Antam lebih berpengalaman dalam menambang emas. Mengapa Medco peruaahaan swasta? Ditambah lagi sumber dananya dari China. Ini sama dengan menjual lepas dari AS lalu jatuh dalam genggaman China.',Positive
"Iya gue dipanggil bocil krn waktu itu gue kuntet banget, kalo upacara aja dipanggil ""eh semampai"" alias semeter tak sampai...\n\nYak lanjot \n\nSetelah tugimin diteriakin gitu kalian tau responnya apa???? Hahaha bangsad kau tugimin'",Negative
"Kita bisu, kata bungkam\nDi matamu aku perlahan padam\nBersama debarmu yang kian samar\nSenja menghitam bersorak merayakan kepergian\nMencatat kembali sebuah kehilangan.\n\nUSER'",Positive
"USER USER USER Umat islam siapa yg ente mksd??\nFPI? HTI? Mrk bkn muslim. Tp penista islam. Bajingan mrk itu. Muslim tdk mgkn berbuat onar. Pengecut lari dr tgg jwb stlh mesum.\nApa2 islam, apa2 islam. Giliran mesum apa itu islam? Berbuat onar itu islam?",Negative
usir cina dan jongos-jongosnya klo anda ingin Indonesia ini damai.,Negative
"Lho mbok ya ben to yo..wong punya asumsi dan teori ekonomi dewe og.. Teori ""Jalan Tembus"", bisa jadi besok tiap kepala keluarga diberi mesin cetak uang sendiri. Kan sangar.",Positive
virus tingkat dewa pake antivirus ngga ketauan.. sarap abis',Negative
USER Kabur? Pemain lu aja yang dongo.... Tribun kosong dipanjat.... Hahahaha \n... Ah payah dah.. Kontol2an.. Haha',Negative
"USER Ngewe lg yu,'",Negative
Mari kita jaga persatuan. Jangan mau diadu domba. Bpk Ma'ruf Amin kan ulama kita semua. Mari kita hormati beliau.,Positive
pendukung Prabowo spt ARB SDA adl orang-orang bejad tabiatnya kasar termasuk org ini &gt;&gt; USER,Negative
Ini tuh kesalahan Jokowi dan Ahok si babi ateis. https:\/\/t.co\/v2GRcUeStI,Negative
"BENTAR LAGI GUA RILIS ALBUM THE ONTA'S WKWKWKWKWK""",Positive
Ass. Tahun 2024 pasti Presiden baru,Positive
Aduh badan gendut gak PD..Jangan khawatir JUS HERBAL CMP dapat menurunkan BB 2-5 kg /minggunya nyata hasilnya plus mengobati berbagai penyakit kepoin y.minat chat me:hp: 082316861194/ pin :D2907677',Positive
terkutuk bgt pokoknya yg niat jahat',Negative
USER Baiknya yg mundur adalah USER krn gk becus mengurus negeri,Positive
"USER Jangankan di sekolah katolik mbak, di mudika gereja juga belum tentu dapet. Aku pun tau seja kuliah di Jogja, itu pun gara-gara beririsan sama anak-anak gerakan \xf0\x9f\x98\x85'",Positive
"Temukan pesona keindahan tentang Cirebon mulai dari: kuliner, bahasa, budaya, sejarah, kesenian, dan eksotisme dunia malamnya. Follow USER",Positive
RT USER: Bokep cewek bispak bandung ngentot Croot Di Dalam \xf0\x9f\x98\x80\n\nDownload Full : URL URL,Negative
USER Fadli Zoon politik si politik tapi harus tahulah Bahwa ini NKRI yg ada sejarahnya jangan dilupakan untuk kepenting pribadi atau partainya.sadarlah itu biar jangan kaco negara kita ini.yuk bela atau bantulah pak presiden Jokowi untuk memakmurkan,Positive
#ABJ Ayo lah Prabowo+SBY+Pendukung #2019GantiPresiden bersatu,Positive
Allahu Akbar Gaduh Karena Ahok Rakyat Bersama FPI Bubarkan GMBI Copot Kapolda Jabar penjarakan ahok,Positive
"duduk serumah tapi masak asing2 makan sendiri2, serupa takpayah duduk serumah. duduk asing lebih baik, sebab nak buat apa pn orang tak kisah.'",Positive
USER USER USER USER USER USER USER USER USER USER USER USER USER Jangan tunggu lama lama ...\nSoalnya begitu lepas kejadian Bom di Surabaya Polisi berha,Positive
"USER bangkrut si USER jualan islam liberal padahal dana dr syiah sudah keluar banyak, banting setir ke Islam NUsantara di bantu sponsor oleh komunis \xf0\x9f\x98\x82'",Positive
yah dah bobo si mark :(((( LAH TRUS KNP CHER ANJIR LO NAJIS',Negative
"RT USER: USER Lagunya bagus. Mvnya juga ga abal walaupun yua sbg sponsor screentimenya beuh. Tapi bagus kok dia, yg b\xe2\x80\xa6'",Positive
"USER Ia tidak memperdulikan ocehan laki-laki didepannya itu, kenapa hari ini ia bertemu laki laki ini? Padahal UI sangat luas dan dari sekian banyak mahasiswa, mengapa harus Alan?\n\n""Bodo amat gue gak denger, gue pake headset,"" ucapnya tidak perduli, lalu mengikuti langkah kaki +'",Negative
jelas ga sekarang hukum spt apa dinegeri ini? ketika dgn jelas didepan mata remaja labil bermata sipit menghina Presiden sbg simbol negara ternyata sepi pemberitaan bahkan ada indikasi dianggap kebebasan berekspresi krn dianggap lucu2an..#mikirdaaingmah',Positive
"Bhabinkamtibmas Desa Sidoharjo Polsek Pringsewu Kota Brigpol ARIS S., sambang/silaturahmi di kantor LSM GMBI yg berada di Desa Sidoharjo, sekaligus mengajak para anggota GMBI untuk peran aktif menjaga kamtibmas menjelang Pilihan Gubernur dan Wakil Gubernur",Positive
Setya Novanto lebih kebal dari Madara kayaknya kalo entar 'mati' juga tinggal edotensei lagi :(,Positive
"USER USER USER USER USER USER USER USER So, apakah dengan melakukan hal ini mereka mengakui kalau mereka identik dengan bom ?? \xf0\x9f\x98\x89'",Positive
USER Hah? Wah bangke emang nih truk',Negative
USER Siap menangkan jokowi 2019...biar kaum sumbu pendek makin kejang kejang,Negative
